Game,Team 1,Score,Team 2,Week,Patch,Date,esportSS,Patch_short,Name_x,Season_x,Region_x,Games_x,Win rate_x,K:D_x,GPM_x,GDM_x,Game duration_x,Kills / game_x,Deaths / game_x,Towers killed_x,Towers lost_x,FB%_x,FT%_x,DRAPG_x,DRA%_x,VGPG_x,HERPG_x,HER%_x,DRA@15_x,TD@15_x,GD@15_x,PPG_x,NASHPG_x,NASH%_x,CSM_x,DPM_x,WPM_x,VWPM_x,WCPM_x,Season_short_x,Name_y,Season_y,Region_y,Games_y,Win rate_y,K:D_y,GPM_y,GDM_y,Game duration_y,Kills / game_y,Deaths / game_y,Towers killed_y,Towers lost_y,FB%_y,FT%_y,DRAPG_y,DRA%_y,VGPG_y,HERPG_y,HER%_y,DRA@15_y,TD@15_y,GD@15_y,PPG_y,NASHPG_y,NASH%_y,CSM_y,DPM_y,WPM_y,VWPM_y,WCPM_y,Season_short_y
APK Prince vs DragonX,DragonX,2 - 1,SeolHaeOne Prince,WEEK9,10.7,2020-04-16,lck spring 2020,10,DragonX,S10,KR,46,67.4%,1.42,1826,167,32:45,13.2,9.2,6.8,4.3,34.8,63.0,2.72,62.4,-,0.91,48.9,1.02,0.3,1434,-,0.70,62.4,34.2,1969,3.6,1.47,1.81,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
Griffin vs APK Prince,Griffin,2 - 1,SeolHaeOne Prince,WEEK2,10.2,2020-02-14,lck spring 2020,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
DWG vs APK Prince,DAMWON Gaming,2 - 0,SeolHaeOne Prince,WEEK6,10.5,2020-03-28,lck spring 2020,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
T1 vs APK Prince,T1,2 - 0,SeolHaeOne Prince,WEEK6,10.5,2020-03-26,lck spring 2020,10,T1,S10,KR,44,68.2%,1.50,1790,131,34:11,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,-,0.89,47.7,0.95,-0.1,342,-,0.75,65.8,34.0,1739,4.0,1.42,1.82,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
GEN vs APK Prince,Gen.G eSports,2 - 0,SeolHaeOne Prince,WEEK4,10.3,2020-03-01,lck spring 2020,10,Gen.G eSports,S10,KR,44,70.5%,1.59,1791,161,33:34,12.3,7.8,7.4,4.2,75.0,59.1,2.80,59.6,-,1.00,52.3,1.11,0.2,1203,-,0.80,69.9,33.1,1726,3.8,1.47,1.82,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
HLE vs APK Prince,Hanwha Life eSports,0 - 2,SeolHaeOne Prince,WEEK5,10.4,2020-03-04,lck spring 2020,10,Hanwha Life eSports,S10,KR,45,37.8%,0.72,1655,-144,33:01,9.3,12.9,4.4,7.0,46.7,46.7,2.04,40.4,-,1.00,53.3,0.89,-0.2,-1133,-,0.42,39.6,31.5,1709,3.7,1.68,1.66,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
SB vs APK Prince,Sandbox Gaming,2 - 0,SeolHaeOne Prince,WEEK1,10.2,2020-02-06,lck spring 2020,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
APK Prince vs AF,Afreeca Freecs,0 - 2,SeolHaeOne Prince,WEEK7,10.6,2020-04-02,lck spring 2020,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
KT Rolster vs APK Prince,KT Rolster,0 - 2,SeolHaeOne Prince,WEEK3,10.3,2020-02-20,lck spring 2020,10,KT Rolster,S10,KR,46,52.2%,1.05,1725,31,32:11,9.5,9.0,6.4,5.5,52.2,63.0,2.67,57.2,-,1.09,54.3,1.24,0.4,420,-,0.54,48.8,32.6,1697,3.7,1.58,1.79,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10
DragonX vs AF,DragonX,2 - 1,Afreeca Freecs,WEEK8,10.6,2020-04-12,lck spring 2020,10,DragonX,S10,KR,46,67.4%,1.42,1826,167,32:45,13.2,9.2,6.8,4.3,34.8,63.0,2.72,62.4,-,0.91,48.9,1.02,0.3,1434,-,0.70,62.4,34.2,1969,3.6,1.47,1.81,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
Griffin vs AF,Griffin,0 - 2,Afreeca Freecs,WEEK1,10.2,2020-02-06,lck spring 2020,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
DWG vs AF,DAMWON Gaming,1 - 2,Afreeca Freecs,WEEK4,10.3,2020-02-29,lck spring 2020,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
AF vs T1,T1,2 - 0,Afreeca Freecs,WEEK9,10.7,2020-04-15,lck spring 2020,10,T1,S10,KR,44,68.2%,1.50,1790,131,34:11,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,-,0.89,47.7,0.95,-0.1,342,-,0.75,65.8,34.0,1739,4.0,1.42,1.82,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
GEN vs AF,Gen.G eSports,2 - 1,Afreeca Freecs,WEEK4,10.3,2020-02-27,lck spring 2020,10,Gen.G eSports,S10,KR,44,70.5%,1.59,1791,161,33:34,12.3,7.8,7.4,4.2,75.0,59.1,2.80,59.6,-,1.00,52.3,1.11,0.2,1203,-,0.80,69.9,33.1,1726,3.8,1.47,1.82,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
AF vs HLE,Hanwha Life eSports,2 - 0,Afreeca Freecs,WEEK7,10.6,2020-04-05,lck spring 2020,10,Hanwha Life eSports,S10,KR,45,37.8%,0.72,1655,-144,33:01,9.3,12.9,4.4,7.0,46.7,46.7,2.04,40.4,-,1.00,53.3,0.89,-0.2,-1133,-,0.42,39.6,31.5,1709,3.7,1.68,1.66,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
SB vs AF,Sandbox Gaming,1 - 2,Afreeca Freecs,WEEK3,10.3,2020-02-21,lck spring 2020,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
APK Prince vs AF,SeolHaeOne Prince,1 - 2,Afreeca Freecs,WEEK2,10.2,2020-02-12,lck spring 2020,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
KT Rolster vs AF,KT Rolster,2 - 1,Afreeca Freecs,WEEK6,10.5,2020-03-29,lck spring 2020,10,KT Rolster,S10,KR,46,52.2%,1.05,1725,31,32:11,9.5,9.0,6.4,5.5,52.2,63.0,2.67,57.2,-,1.09,54.3,1.24,0.4,420,-,0.54,48.8,32.6,1697,3.7,1.58,1.79,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10
DragonX vs DWG,DragonX,2 - 1,DAMWON Gaming,WEEK8,10.6,2020-04-10,lck spring 2020,10,DragonX,S10,KR,46,67.4%,1.42,1826,167,32:45,13.2,9.2,6.8,4.3,34.8,63.0,2.72,62.4,-,0.91,48.9,1.02,0.3,1434,-,0.70,62.4,34.2,1969,3.6,1.47,1.81,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
Griffin vs DWG,Griffin,1 - 2,DAMWON Gaming,WEEK3,10.3,2020-02-20,lck spring 2020,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
T1 vs DWG,T1,2 - 1,DAMWON Gaming,WEEK1,10.2,2020-02-05,lck spring 2020,10,T1,S10,KR,44,68.2%,1.50,1790,131,34:11,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,-,0.89,47.7,0.95,-0.1,342,-,0.75,65.8,34.0,1739,4.0,1.42,1.82,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
GEN vs DWG,Gen.G eSports,2 - 0,DAMWON Gaming,WEEK6,10.5,2020-03-26,lck spring 2020,10,Gen.G eSports,S10,KR,44,70.5%,1.59,1791,161,33:34,12.3,7.8,7.4,4.2,75.0,59.1,2.80,59.6,-,1.00,52.3,1.11,0.2,1203,-,0.80,69.9,33.1,1726,3.8,1.47,1.82,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
HLE vs DWG,Hanwha Life eSports,1 - 2,DAMWON Gaming,WEEK4,10.3,2020-02-27,lck spring 2020,10,Hanwha Life eSports,S10,KR,45,37.8%,0.72,1655,-144,33:01,9.3,12.9,4.4,7.0,46.7,46.7,2.04,40.4,-,1.00,53.3,0.89,-0.2,-1133,-,0.42,39.6,31.5,1709,3.7,1.68,1.66,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
SB vs DWG,Sandbox Gaming,2 - 0,DAMWON Gaming,WEEK3,10.3,2020-02-23,lck spring 2020,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
APK Prince vs DWG,SeolHaeOne Prince,0 - 2,DAMWON Gaming,WEEK1,10.2,2020-02-08,lck spring 2020,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
AF vs DWG,Afreeca Freecs,0 - 2,DAMWON Gaming,WEEK7,10.6,2020-04-03,lck spring 2020,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
DWG vs KT Rolster,KT Rolster,2 - 1,DAMWON Gaming,WEEK6,10.5,2020-03-25,lck spring 2020,10,KT Rolster,S10,KR,46,52.2%,1.05,1725,31,32:11,9.5,9.0,6.4,5.5,52.2,63.0,2.67,57.2,-,1.09,54.3,1.24,0.4,420,-,0.54,48.8,32.6,1697,3.7,1.58,1.79,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10
SB vs DragonX,DragonX,2 - 1,Sandbox Gaming,WEEK7,10.6,2020-04-01,lck spring 2020,10,DragonX,S10,KR,46,67.4%,1.42,1826,167,32:45,13.2,9.2,6.8,4.3,34.8,63.0,2.72,62.4,-,0.91,48.9,1.02,0.3,1434,-,0.70,62.4,34.2,1969,3.6,1.47,1.81,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
Griffin vs SB,Griffin,2 - 1,Sandbox Gaming,WEEK2,10.2,2020-02-12,lck spring 2020,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
DWG vs SB,DAMWON Gaming,2 - 1,Sandbox Gaming,WEEK9,10.7,2020-04-15,lck spring 2020,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
T1 vs SB,T1,2 - 0,Sandbox Gaming,WEEK4,10.3,2020-02-28,lck spring 2020,10,T1,S10,KR,44,68.2%,1.50,1790,131,34:11,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,-,0.89,47.7,0.95,-0.1,342,-,0.75,65.8,34.0,1739,4.0,1.42,1.82,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
GEN vs SB,Gen.G eSports,2 - 0,Sandbox Gaming,WEEK7,10.6,2020-04-03,lck spring 2020,10,Gen.G eSports,S10,KR,44,70.5%,1.59,1791,161,33:34,12.3,7.8,7.4,4.2,75.0,59.1,2.80,59.6,-,1.00,52.3,1.11,0.2,1203,-,0.80,69.9,33.1,1726,3.8,1.47,1.82,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
HLE vs SB,Hanwha Life eSports,2 - 0,Sandbox Gaming,WEEK2,10.2,2020-02-15,lck spring 2020,10,Hanwha Life eSports,S10,KR,45,37.8%,0.72,1655,-144,33:01,9.3,12.9,4.4,7.0,46.7,46.7,2.04,40.4,-,1.00,53.3,0.89,-0.2,-1133,-,0.42,39.6,31.5,1709,3.7,1.68,1.66,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
APK Prince vs SB,SeolHaeOne Prince,2 - 0,Sandbox Gaming,WEEK6,10.5,2020-03-29,lck spring 2020,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
AF vs SB,Afreeca Freecs,0 - 2,Sandbox Gaming,WEEK6,10.5,2020-03-26,lck spring 2020,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
KT Rolster vs SB,KT Rolster,2 - 1,Sandbox Gaming,WEEK4,10.3,2020-02-26,lck spring 2020,10,KT Rolster,S10,KR,46,52.2%,1.05,1725,31,32:11,9.5,9.0,6.4,5.5,52.2,63.0,2.67,57.2,-,1.09,54.3,1.24,0.4,420,-,0.54,48.8,32.6,1697,3.7,1.58,1.79,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10
DragonX vs Griffin,DragonX,2 - 0,Griffin,WEEK4,10.3,2020-03-01,lck spring 2020,10,DragonX,S10,KR,46,67.4%,1.42,1826,167,32:45,13.2,9.2,6.8,4.3,34.8,63.0,2.72,62.4,-,0.91,48.9,1.02,0.3,1434,-,0.70,62.4,34.2,1969,3.6,1.47,1.81,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
DWG vs Griffin,DAMWON Gaming,0 - 2,Griffin,WEEK8,10.6,2020-04-08,lck spring 2020,10,DAMWON Gaming,S10,KR,43,51.2%,1.01,1784,54,33:31,11.5,11.4,6.7,5.5,51.2,48.8,2.63,52.7,-,1.19,64.0,1.00,0.0,15,-,0.74,49.5,33.7,1800,3.7,1.44,1.79,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
T1 vs Griffin,T1,2 - 0,Griffin,WEEK4,10.3,2020-02-26,lck spring 2020,10,T1,S10,KR,44,68.2%,1.50,1790,131,34:11,11.8,7.8,7.2,4.9,47.7,40.9,2.57,53.6,-,0.89,47.7,0.95,-0.1,342,-,0.75,65.8,34.0,1739,4.0,1.42,1.82,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
GEN vs Griffin,Gen.G eSports,2 - 0,Griffin,WEEK1,10.2,2020-02-08,lck spring 2020,10,Gen.G eSports,S10,KR,44,70.5%,1.59,1791,161,33:34,12.3,7.8,7.4,4.2,75.0,59.1,2.80,59.6,-,1.00,52.3,1.11,0.2,1203,-,0.80,69.9,33.1,1726,3.8,1.47,1.82,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
HLE vs Griffin,Hanwha Life eSports,2 - 1,Griffin,WEEK3,10.3,2020-02-22,lck spring 2020,10,Hanwha Life eSports,S10,KR,45,37.8%,0.72,1655,-144,33:01,9.3,12.9,4.4,7.0,46.7,46.7,2.04,40.4,-,1.00,53.3,0.89,-0.2,-1133,-,0.42,39.6,31.5,1709,3.7,1.68,1.66,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
SB vs Griffin,Sandbox Gaming,2 - 1,Griffin,WEEK6,10.5,2020-03-27,lck spring 2020,10,Sandbox Gaming,S10,KR,44,36.4%,0.84,1683,-73,33:37,9.8,11.6,5.1,6.1,36.4,47.7,2.20,45.1,-,0.77,39.8,0.93,0.0,-113,-,0.45,41.7,32.7,1625,3.9,1.56,1.87,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
Griffin vs APK Prince,SeolHaeOne Prince,1 - 2,Griffin,WEEK7,10.6,2020-04-05,lck spring 2020,10,SeolHaeOne Prince,S10,KR,43,39.5%,0.75,1668,-116,34:27,11.0,14.5,5.0,6.9,48.8,53.5,2.28,42.1,-,1.02,54.7,0.60,0.0,-925,-,0.67,50.5,31.2,1827,3.7,1.44,1.78,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
Griffin vs AF,Afreeca Freecs,2 - 0,Griffin,WEEK8,10.6,2020-04-09,lck spring 2020,10,Afreeca Freecs,S10,KR,46,41.3%,0.82,1667,-77,35:00,10.7,12.9,5.2,6.5,54.3,43.5,2.48,49.6,-,0.91,48.9,1.02,0.0,-475,-,0.54,42.5,31.0,1730,3.8,1.52,1.89,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
KT Rolster vs Griffin,KT Rolster,2 - 1,Griffin,WEEK7,10.6,2020-04-01,lck spring 2020,10,KT Rolster,S10,KR,46,52.2%,1.05,1725,31,32:11,9.5,9.0,6.4,5.5,52.2,63.0,2.67,57.2,-,1.09,54.3,1.24,0.4,420,-,0.54,48.8,32.6,1697,3.7,1.58,1.79,10,Griffin,S10,KR,45,35.6%,0.83,1633,-133,34:03,8.9,10.7,4.0,7.3,53.3,31.1,1.80,36.8,-,0.64,36.7,0.80,-0.5,-842,-,0.27,25.7,32.0,1532,3.9,1.60,1.72,10
