Game,Team 1,Score,Team 2,Week,Patch,Date,esportSS,Patch_short,Name_x,Season_x,Region_x,Games_x,Win rate_x,K:D_x,GPM_x,GDM_x,Game duration_x,Kills / game_x,Deaths / game_x,Towers killed_x,Towers lost_x,FB%_x,FT%_x,DRAPG_x,DRA%_x,VGPG_x,HERPG_x,HER%_x,DRA@15_x,TD@15_x,GD@15_x,PPG_x,NASHPG_x,NASH%_x,CSM_x,DPM_x,WPM_x,VWPM_x,WCPM_x,Season_short_x,Name_y,Season_y,Region_y,Games_y,Win rate_y,K:D_y,GPM_y,GDM_y,Game duration_y,Kills / game_y,Deaths / game_y,Towers killed_y,Towers lost_y,FB%_y,FT%_y,DRAPG_y,DRA%_y,VGPG_y,HERPG_y,HER%_y,DRA@15_y,TD@15_y,GD@15_y,PPG_y,NASHPG_y,NASH%_y,CSM_y,DPM_y,WPM_y,VWPM_y,WCPM_y,Season_short_y
JD Gaming vs RNG,Royal Never Give Up,0 - 2,JD Gaming,WEEK3,13.11,2023-06-13,lpl summer 2023,13,Royal Never Give Up,S13,CN,40,55.0%,1.08,1854,41,30:21,14.1,13.0,6.5,5.0,55.0,37.5,2.43,57.1,-,-,-,-,-,-,-,0.70,49.4,32.9,2232,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
JD Gaming vs AL,Anyone s Legend,1 - 2,JD Gaming,WEEK3,13.11,2023-06-15,lpl summer 2023,13,Anyone s Legend,S13,CN,39,30.8%,0.76,1741,-165,31:04,10.8,14.2,4.3,7.4,43.6,25.6,2.00,45.9,-,-,-,-,-,-,-,0.59,35.9,32.7,1921,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
TT vs JD Gaming,TT,0 - 2,JD Gaming,WEEK7,13.12,2023-07-16,lpl summer 2023,13,TT,S13,CN,41,39.0%,0.86,1758,-89,32:15,11.6,13.4,5.1,6.9,48.8,46.3,2.27,50.0,-,-,-,-,-,-,-,0.59,36.3,32.8,1977,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
Team WE vs JD Gaming,Team WE,0 - 2,JD Gaming,WEEK7,13.12,2023-07-11,lpl summer 2023,13,Team WE,S13,CN,37,48.6%,1.07,1825,-2,30:57,12.4,11.6,5.8,6.0,51.4,29.7,2.16,50.5,-,-,-,-,-,-,-,0.73,54.2,32.9,2173,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
NIP vs JD Gaming,Ninjas in Pyjamas,0 - 2,JD Gaming,WEEK5,13.12,2023-06-27,lpl summer 2023,13,Ninjas in Pyjamas,S13,CN,36,41.7%,0.84,1791,-76,28:59,10.9,12.9,5.0,6.3,44.4,30.6,1.64,41.2,-,-,-,-,-,-,-,0.72,54.7,32.8,2071,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
JD Gaming vs IG,Invictus Gaming,2 - 1,JD Gaming,WEEK6,13.12,2023-07-09,lpl summer 2023,13,Invictus Gaming,S13,CN,36,36.1%,0.88,1780,-130,30:12,13.2,14.9,4.7,7.2,44.4,30.6,2.33,52.7,-,-,-,-,-,-,-,0.56,34.7,32.1,2098,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
FPX vs JD Gaming,Funplus Phoenix,0 - 2,JD Gaming,WEEK6,13.12,2023-07-05,lpl summer 2023,13,Funplus Phoenix,S13,CN,37,43.2%,0.81,1792,-86,29:37,10.7,13.2,5.1,6.6,51.4,37.8,1.57,37.5,-,-,-,-,-,-,-,0.49,37.0,32.7,1979,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
EDG vs JD Gaming,Edward Gaming,0 - 2,JD Gaming,WEEK2,13.10,2023-06-10,lpl summer 2023,13,Edward Gaming,S13,CN,41,48.8%,0.92,1829,2,30:58,12.8,14.0,6.2,5.7,46.3,48.8,2.15,51.7,-,-,-,-,-,-,-,0.73,50.9,33.1,2179,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
Top Esports vs JD Gaming,Top Esports,0 - 2,JD Gaming,WEEK4,13.11,2023-06-23,lpl summer 2023,13,Top Esports,S13,CN,38,65.8%,1.32,1871,117,30:32,14.0,10.6,6.6,5.0,55.3,44.7,2.50,60.4,-,-,-,-,-,-,-,0.79,60.4,33.3,2204,-,-,-,13,JD Gaming,S13,CN,36,80.6%,1.63,1978,249,29:07,17.1,10.4,7.8,3.7,55.6,36.1,2.44,63.6,-,-,-,-,-,-,-,0.69,60.9,34.5,2531,-,-,-,13
RNG vs LGD Gaming,Royal Never Give Up,2 - 0,LGD Gaming,WEEK7,13.12,2023-07-17,lpl summer 2023,13,Royal Never Give Up,S13,CN,40,55.0%,1.08,1854,41,30:21,14.1,13.0,6.5,5.0,55.0,37.5,2.43,57.1,-,-,-,-,-,-,-,0.70,49.4,32.9,2232,-,-,-,13,LGD Gaming,S13,CN,39,28.2%,0.75,1752,-138,31:44,11.3,14.9,4.4,7.1,46.2,33.3,1.77,41.8,-,-,-,-,-,-,-,0.59,38.2,32.7,2018,-,-,-,13
